price,room,space,name,link
320.000€,3 hab.,100 m²,"Piso en carretera de Ribes, 5, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95889605/
199.000€,2 hab.,59 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95909970/
465.000€,4 hab.,225 m²,"Chalet adosado en plaza del Mercadal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97138663/
300.000€,3 hab.,89 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97138301/
469.000€,4 hab.,110 m²,"Piso en calle Gran de Sant Andreu, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96766775/
295.000€,2 hab.,99 m²,"Piso en paseo Santa Coloma, 31, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96872625/
239.000€,2 hab.,72 m²,"Piso en riera de Sant Andreu, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96593195/
90.000€,1 hab.,49 m²,"Piso en paseo de Torras i Bages, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97254230/
199.000€,2 hab.,51 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97237845/
265.000€,3 hab.,66 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97053796/
245.000€,2 hab.,67 m²,"Piso en calle Gran de Sant Andreu, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97035923/
240.000€,3 hab.,61 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97005136/
199.000€,2 hab.,51 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97237521/
265.000€,3 hab.,73 m²,"Piso en calle de Concepción Arenal, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96406220/
364.000€,4 hab.,121 m²,"Piso en avenida Meridiana, 380, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95508412/
407.400€,4 hab.,115 m²,"Piso en carretera de Ribes, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97066465/
275.000€,3 hab.,80 m²,"Piso en plaza MOSSEN CLAPES, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96795991/
295.000€,2 hab.,92 m²,"Piso en avenida Meridiana, 518, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97020086/
285.000€,3 hab.,72 m²,"Piso en calle de Joan Torras, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96938258/
189.000€,2 hab.,61 m²,"Piso en Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97064129/
350.000€,2 hab.,92 m²,"Piso en avenida Meridiana, 518, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95219077/
199.740€,3 hab.,81 m²,"Piso en Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95202396/
225.000€,3 hab.,70 m²,"Piso en Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96362137/
169.000€,2 hab.,61 m²,"Piso en Sant Andreu, Barcelona",https://www.idealista.com/inmueble/94720663/
180.000€,3 hab.,69 m²,"Piso en Andorra, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97100093/
270.000€,3 hab.,79 m²,"Piso en calle de Renart, s/n, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/96693880/
390.000€,3 hab.,132 m²,"Dúplex en calle de Guardiola i Feliu, 22, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95970860/
475.000€,3 hab.,164 m²,"Chalet en Sant Andreu, Barcelona",https://www.idealista.com/inmueble/92749896/
310.000€,3 hab.,91 m²,"Piso en paseo de Torras i Bages, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/97053510/
425.000€,6 hab.,222 m²,"Chalet adosado en calle de Cabrera, 58, Sant Andreu, Barcelona",https://www.idealista.com/inmueble/95891799/
225.000€,3 hab.,64 m²,"Piso en calle de Concepción Arenal, Navas, Barcelona",https://www.idealista.com/inmueble/97053421/
320.000€,1 hab.,60 m²,"Piso en calle Olesa, Navas, Barcelona",https://www.idealista.com/inmueble/95421636/
250.000€,3 hab.,84 m²,"Piso en calle de Biscaia, Navas, Barcelona",https://www.idealista.com/inmueble/96804002/
298.000€,3 hab.,91 m²,"Piso en calle de Juan de Garay, Navas, Barcelona",https://www.idealista.com/inmueble/96815584/
330.000€,4 hab.,95 m²,"Piso en calle d'Espronceda, Navas, Barcelona",https://www.idealista.com/inmueble/97239750/
225.000€,3 hab.,64 m²,"Piso en Navas, Barcelona",https://www.idealista.com/inmueble/97245287/
275.000€,4 hab.,93 m²,"Piso en calle d'Espronceda, Navas, Barcelona",https://www.idealista.com/inmueble/96652097/
330.000€,3 hab.,95 m²,"Piso en Navas, Barcelona",https://www.idealista.com/inmueble/97245289/
255.000€,3 hab.,69 m²,"Piso en calle de Concepción Arenal, Navas, Barcelona",https://www.idealista.com/inmueble/96333472/
225.000€,3 hab.,64 m²,"Piso en calle de Concepción Arenal, Navas, Barcelona",https://www.idealista.com/inmueble/97239519/
350.000€,4 hab.,109 m²,"Piso en Palencia, Navas, Barcelona",https://www.idealista.com/inmueble/97237013/
280.000€,4 hab.,78 m²,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",https://www.idealista.com/inmueble/97130642/
280.000€,4 hab.,78 m²,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",https://www.idealista.com/inmueble/97151546/
225.000€,3 hab.,64 m²,"Piso en Navas, Barcelona",https://www.idealista.com/inmueble/97245844/
225.000€,3 hab.,64 m²,"Piso en calle de Concepción Arenal, Navas, Barcelona",https://www.idealista.com/inmueble/97236690/
320.000€,1 hab.,91 m²,"Ático en calle d'Olesa, Navas, Barcelona",https://www.idealista.com/inmueble/97201279/
280.000€,4 hab.,78 m²,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",https://www.idealista.com/inmueble/97142253/
280.000€,4 hab.,78 m²,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",https://www.idealista.com/inmueble/97131264/
365.000€,4 hab.,109 m²,"Piso en Palencia, Navas, Barcelona",https://www.idealista.com/inmueble/96649809/
320.000€,1 hab.,76 m²,"Ático en calle d'Olesa, Navas, Barcelona",https://www.idealista.com/inmueble/95730698/
350.000€,4 hab.,109 m²,"Piso en Palencia, Navas, Barcelona",https://www.idealista.com/inmueble/97225613/
280.000€,4 hab.,78 m²,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",https://www.idealista.com/inmueble/97135065/
350.000€,4 hab.,109 m²,"Piso en calle PALENCIA, Navas, Barcelona",https://www.idealista.com/inmueble/96951706/
350.000€,4 hab.,109 m²,"Piso en calle de Palència, Navas, Barcelona",https://www.idealista.com/inmueble/96364074/
230.000€,3 hab.,50 m²,"Piso en Navas de tolosa, s/n, Navas, Barcelona",https://www.idealista.com/inmueble/96939670/
257.000€,3 hab.,70 m²,"Piso en calle de Josep Estivill, Navas, Barcelona",https://www.idealista.com/inmueble/96524127/
350.000€,4 hab.,109 m²,"Piso en calle de Palència, Navas, Barcelona",https://www.idealista.com/inmueble/96767251/
359.000€,2 hab.,56 m²,"Piso en calle Murcia, 22, Navas, Barcelona",https://www.idealista.com/inmueble/96610820/
346.000€,2 hab.,56 m²,"Piso en calle Murcia, 22, Navas, Barcelona",https://www.idealista.com/inmueble/96610818/
338.000€,2 hab.,56 m²,"Piso en calle Murcia, 22, Navas, Barcelona",https://www.idealista.com/inmueble/96610741/
199.000€,2 hab.,70 m²,"Piso en avenida Meridiana, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96687265/
245.000€,4 hab.,102 m²,"Piso en avenida Meridiana, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96354171/
315.000€,4 hab.,95 m²,"Piso en calle d'Hondures, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96885869/
205.000€,3 hab.,62 m²,"Piso en La Sagrera, Barcelona",https://www.idealista.com/inmueble/96631839/
230.000€,3 hab.,74 m²,"Piso en calle de la Ciutat d'Elx, La Sagrera, Barcelona",https://www.idealista.com/inmueble/94592363/
189.000€,2 hab.,57 m²,"Piso en Meridiana, La Sagrera, Barcelona",https://www.idealista.com/inmueble/95266063/
189.000€,2 hab.,65 m²,"Piso en avenida MERIDIANA, La Sagrera, Barcelona",https://www.idealista.com/inmueble/95885588/
180.000€,1 hab.,54 m²,"Piso en calle Gran de la Sagrera, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97182250/
198.000€,3 hab.,70 m²,"Piso en Concepción Arenal, 112, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96858821/
245.000€,3 hab.,70 m²,"Piso en avenida Meridiana, La Sagrera, Barcelona",https://www.idealista.com/inmueble/88937779/
206.000€,3 hab.,65 m²,"Piso en calle de Sant Antoni Maria Claret, 377, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96539876/
212.000€,3 hab.,70 m²,"Piso en calle de Concepción Arenal, 108, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97180106/
365.000€,4 hab.,94 m²,"Piso en avenida Meridiana, 279, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97001587/
190.000€,3 hab.,59 m²,"Piso en calle de Felip II, s/n, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96508938/
189.000€,2 hab.,57 m²,"Piso en avenida Meridiana, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97075721/
443.000€,3 hab.,150 m²,"Piso en La Sagrera, Barcelona",https://www.idealista.com/inmueble/95560352/
390.000€,3 hab.,105 m²,"Piso en La Sagrera, Barcelona",https://www.idealista.com/inmueble/95560040/
175.000€,3 hab.,54 m²,"Piso en calle de Concepción Arenal, 118, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97034133/
